13,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,14738,15207
14,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),66836,66836
15,Round 1,Budge Budge Institute of Technology Budge-Budge,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,21672,106344
16,Round 1,Hooghly Engineering & Technology College Hooghly,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,307356,726093
17,Round 1,Murshidabad College of Engineering & Technology Murshidabad,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,58819,110407
18,Round 1,Techno India University Salt Lake,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,452830,466322
19,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,5924,6572
20,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,6670,8444
21,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,18347,18898
22,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,21457,32018
23,Round 1,Dr. B. C. Roy Engineering College Durgapur,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,22953,99583
24,Round 1,Heritage Institute of Technology Kolkata,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,31124,31124
25,Round 1,Imps College of Engineering & Technology Malda,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,60751,99036
26,Round 1,Jis College of Engineering Kalyani Nadia,Civil Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,32043,105256
27,Round 1,Supreme Knowledge Foundation Group of Institutions Mankundu Hooghly,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,32236,32350
28,Round 1,University Of Calcutta,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,1410,1624
29,Round 1,St. Thomas College of Engineering & Technology Khidirpur Kolkata,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,16625,16736
30,Round 1,Swami Vivekananda Institute of Science & Technology Sonarpur,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,28744,37243
31,Round 1,Hooghly Engineering & Technology College Hooghly,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,10055,22878
32,Round 1,UNIVERSITY INSTITUTE OF TECHNOLOGY BURDWAN UNIVERSITY,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,1557,7704
33,Round 1,Gargi Memorial Institute of Technology Baruipur Kolkata,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,37168,38113
34,Round 1,Netaji Subhas Engineering College Garia Kolkata,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,6907,10533
35,Round 1,Techno Main Salt Lake Sector-V Salt Lake,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,6380,7733
36,Round 1,Techno India University Salt Lake,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,9882,9882
37,Round 1,Heritage Institute of Technology Kolkata,Chemical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,4471,12832
38,Round 1,Jadavpur University,Chemical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,949,1327
39,Round 1,University Of Calcutta,Chemical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,2024,2048
40,Round 1,Haldia Institute of Technology Haldia Purba Medinipur,Chemical Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,6371,13465
41,Round 1,Nshm Knowledge Campus Durgapur Group of Institutions,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,35024,36522
42,Round 1,Techno International New Town Rajarhat New Town,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,7942,20483
43,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,1726,1973
44,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,3673,3871
45,Round 1,Jalpaiguri Goverment Engineering CollegeJalpaiguri,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),31885,42126
46,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),30851,36166
47,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,11017,12828
48,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,2557,8542
49,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),79177,104464
50,Round 1,Bankura Unnayani Institute of Engineering Bankura,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,425072,1265893
51,Round 1,Calcutta Institute of Engineering & Management Tollygunge Kolkata,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,10364,91921
52,Round 1,Guru Nanak Institute of Technology Panihati Sodepur,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,10985,108385
53,Round 1,Hooghly Engineering & Technology College Hooghly,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,86023,386721
54,Round 1,Jis College of Engineering Kalyani Nadia,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,236348,563985
55,Round 1,Murshidabad College of Engineering & Technology Murshidabad,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,36534,104205
56,Round 1,Mckv Institute of Engineering Liluah Howrah,Automobile Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,27950,27950
57,Round 1,Techno Main Salt Lake Sector-V Salt Lake,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,11852,23581
58,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,11851,18209
59,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,6828,7737
60,Round 1,Sanaka Education Trusts Group of Institutions Durgapur Burdwan,Architecture,B. Arch (JEE(Main) Seats),JEE(Main) Seats,All India,Open,8420,9781
61,Round 1,Techno Main Salt Lake Sector-V Salt Lake,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,75369,86998
62,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,55902,63830
63,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,3337,4842
64,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,11532,17753
65,Round 1,Techno Main Salt Lake Sector-V Salt Lake,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,86765,97810
66,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics And Instrumentation Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,7914,16284
67,Round 1,Haldia Institute of Technology Haldia Purba Medinipur,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,54312,79002
68,Round 1,Bidhan Chandra Krishi Viswa Vidyalaya Mohanpur Nadia,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,8193,14234
69,Round 1,Bidhan Chandra Krishi Viswa Vidyalaya Mohanpur Nadia,Agricultural Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,7771,12722
70,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,25841,27556
71,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,12427,18833
72,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,SC,20572,32719
73,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,85408,101204
74,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,7652,14287
75,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),105564,105564
76,Round 1,Govt. College of Engineering & Textile Technology Serampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,20406,32156
77,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Textile Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,21030,37299
78,Round 1,Om Dayal Group of Institutions Uluberia Howrah,Architecture (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,34610,36842
79,Round 1,Jadavpur University,Power Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,963,1425
80,Round 1,University Of Calcutta,Optics & Optoelectronics (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,2788,2788
81,Round 1,Techno International Batanagar,Computer Science & Engineering (Artificial Intelligence And Machine Learning),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,340597,581739
82,Round 1,Meghnad Saha Institute of Technology Kolkata,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,55130,96475
83,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,14969,21413
84,Round 1,Asansol Engineering College Asansol Burdwan,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,207564,576066
85,Round 1,Dr. B. C. Roy Engineering College Durgapur,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,178822,1046084
86,Round 1,Future Institute of Engineering & Management Sonarpur,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,709247,709247
87,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,3949,4110
88,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,4277,5263
89,Round 1,Ramkrishna Mahato Government Engineering College Purulia,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,23117,25849
90,Round 1,Camellia Institute of Technology & Management Bainchi Hooghly,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,1185010,1185010
91,Round 1,Bengal College of Engineering & Technology Durgapur,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,12182,99174
92,Round 1,Cooch Behar Government Engineering College Cooch Behar,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - A,17300,22379
93,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open (PwD),86778,86778
94,Round 1,Govt. College of Engg. & Textile Technology Berhampore,Mechanical Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,9373,14519
95,Round 1,Mckv Institute of Engineering Liluah Howrah,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,10070,19847
96,Round 1,Asansol Engineering College Asansol Burdwan,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,23037,27494
97,Round 1,B.P. Poddar Institute of Management & Technology Kolkata,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,14077,18096
98,Round 1,College of Engineering and Management Kolaghat,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,26159,32340
99,Round 1,UNIVERSITY OF KALYANI KALYANI,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,3393,3393
100,Round 1,Cooch Behar Government Engineering College Cooch Behar,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,6954,8716
101,Round 1,Budge Budge Institute of Technology Budge-Budge,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,32751,34615
102,Round 1,Future Institute of Engineering & Management Sonarpur,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,24700,28309
103,Round 1,Guru Nanak Institute of Technology Panihati Sodepur,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,18552,24559
104,Round 1,Jis College of Engineering Kalyani Nadia,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,22917,27792
105,Round 1,ALIPURDUAR GOVERNMENT ENGINEERING AND MANAGEMENT COLLEGE,Electronics & Communication Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,6752,10500
106,Round 1,Sister Nivedita University New Town,COMPUTER SCIENCE AND APPLIED MATHEMATICS - TFW,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,28550,31011
107,Round 1,Sanaka Education Trusts Group of Institutions Durgapur Burdwan,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,358672,358672
108,Round 1,Institute of Science and Technology Paschim Medinipur,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,645026,645026
109,Round 1,Academy of Technology Adisaptagram Hooghly,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,84381,288326
110,Round 1,Regent Education and Research Foundation Barasat Kolkata,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,25330,84126
111,Round 1,Swami Vivekananda Institute of Science & Technology Sonarpur,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,25820,74700
112,Round 1,Academy of Technology Adisaptagram Hooghly,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,15975,59788
113,Round 1,Swami Vivekananda Institute of Science & Technology Sonarpur,Electrical & Electronics Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,777342,1167368
114,Round 1,Jadavpur University,Production Engineering (TFW),B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Tuition Fee Waiver,1135,1272
115,Round 1,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,Open,4082,13447
116,Round 1,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,ST,49974,65592
117,Round 1,West Bengal University of Animal & Fishery Sciences,Dairy Technology,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,13537,14211
118,Round 1,Narula Institute of Technology Agarpara Kolkata,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,1748,46216
119,Round 1,Pailan College of Management & Technology Pailan Park,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,336833,336833
120,Round 1,Cooch Behar Government Engineering College Cooch Behar,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,OBC - B,9578,9962
121,Round 1,Kalyani Goverment Engineering College Kalyani Nadia,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,2238,3477
122,Round 1,Abacus Institute of Engineering & Management Mogra Hooghly,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,14859,106001
123,Round 1,B.P. Poddar Institute of Management & Technology Kolkata,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,188767,331956
124,Round 1,Bengal College of Engineering & Technology Durgapur,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,16909,105340
125,Round 1,Budge Budge Institute of Technology Budge-Budge,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,All India,Open,30162,102034
126,Round 1,Dr.Sudhir Chandra Sur Institute of Technology and Sports Complex Dum Dum,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),JEE(Main) Seats,All India,Open,580072,642475
127,Round 1,Mckv Institute of Engineering Liluah Howrah,Electronics & Communication Engineering,B.E/B.Tech (WBJEE/JEE(Main) Seats)/B.Arch (WBJEE Seats),WBJEE Seats,Home State,EWS,79405,79405
